EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
89894,8.705661022,8.022145237,7.952516331,8.389886729,7.611473694,7.092216121,9.43051002,8.45918427,10.84902817,13.69240239,13.47854665,13.20858276
10961,210.1476964,196.6487935,185.2534941,198.8586386,151.4816774,135.2281903,213.0040216,187.3921203,188.3934464,203.7811905,196.0694994,210.5196321
80018,48.53078472,51.84824031,44.32864555,49.97090487,67.86167662,71.51593709,54.22376418,57.503585,45.0895276,52.38012845,52.65871213,61.91255778
10906,83.42339991,79.21527233,95.13066778,102.4820334,105.224307,92.00857721,52.780549,43.00723414,55.69586561,57.18756422,66.65972665,67.38082311
283450,45.62759332,39.78594996,46.99414717,51.18897324,51.07029015,63.46402989,37.0399616,41.27741307,34.54696792,45.20313022,49.13058453,55.85943066
100506435,0,0,0.020210847,0,0,0,0.042070188,0,0,0,0,0
6128,144.0166157,145.7724284,112.3280198,107.9947977,76.30354194,81.34888851,190.6315289,205.6172652,186.0557344,167.000007,131.7182095,129.8387067
5781,296.1728572,263.9187921,289.3777652,268.9373766,203.289087,237.7707981,235.1163337,286.5515745,290.8285742,241.6026054,242.1575121,243.4257311
100302227,0,0,0,0,0,0,0,0,0,0,0,0
22895,0,0,0,0.019277178,0,0.027306558,0.022130299,0,0.027740109,0.133067881,0.10048278,0
4938,91.67668973,86.99192934,267.4566568,134.5057296,71.0795881,63.61093158,83.05694248,37.58506293,29.20151568,31.30326076,21.72884263,20.33551896
4940,184.7890907,177.8802706,370.4523806,188.3272766,119.3160628,107.0430366,307.2929027,182.7528484,168.323019,124.5640851,108.9641101,104.6823333
4939,214.9657936,209.2330881,436.2217032,195.2100366,118.8541629,104.5134893,184.4951345,61.09225778,45.64662092,46.80452236,38.38257783,36.25200358
1840,0,0,0.015481349,0,0,0.022943623,0.021035094,0,0,0,0,0
8437,0.080612793,0.351448785,0.277983832,0.324246621,0.28213401,0.596055192,1.286442159,0.696503676,1.254428243,0.765563871,0.814893092,0.659833816
387885,0.041026407,0.046378873,0.020210847,0.019277178,0,0,0,0.060390615,0.11331435,0.021832871,0,0
79039,61.84708021,69.88206158,51.22316136,59.56906934,76.99377219,68.48883555,68.2320209,86.01850485,68.54050498,75.91321683,67.27067747,81.85046732
84934,14.9998636,14.53298498,14.00413949,16.87712191,19.07407464,14.28405151,24.54698732,21.90124113,17.12797008,22.27975417,24.1709914,27.14681887
115811,0.908949216,1.734650008,1.605852958,1.369066886,1.16433734,1.039905753,1.736990872,1.446762972,1.576728329,1.595904757,2.083166459,0.996780252
53373,41.2497905,34.5171678,33.96239699,39.12754528,68.66744361,71.19283045,66.10787139,53.71953799,43.17592978,52.66952727,49.33695481,57.49486435
